Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1875,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,193mL,332mL,134,14,38,8
1876,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Mint",Diet,166mL,233mL,291,17,22,9
1877,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Protein Powder",Bulking,185mL,210mL,101,2,18,2
1878,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,170mL,361mL,158,16,15,8
1879,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,119mL,366mL,61,7,29,4
1880,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,166mL,206mL,144,6,17,1
1881,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,189mL,224mL,220,7,0,3
1882,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,162mL,269mL,232,19,18,6
1883,Elderberry,Water 200mL,"Basil, Peppermint",Diet,155mL,282mL,290,8,5,3
1884,Elderberry,Water 200mL,Peppermint,Bulking,123mL,350mL,112,11,5,5
1885,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Mint",Bulking,152mL,275mL,215,9,27,1
1886,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,134mL,200mL,139,7,26,6
1887,Beetroot,Water 200mL,Maca Powder,Bulking,158mL,265mL,184,1,35,2
1888,Aloe Vera,Water 200mL,Maca Powder,Diet,131mL,321mL,124,2,29,7
1889,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,114mL,298mL,216,9,0,3
1890,Matcha,Water 200mL,"Maca Powder, Rose Petals",Bulking,198mL,231mL,104,8,19,3
1891,Pomegranate Juice,Water 200mL,Maca Powder,Diet,104mL,209mL,223,8,27,0
1892,Elderberry,Water 200mL,"Maca Powder, Rose Petals",Diet,105mL,380mL,170,9,11,9
1893,Kombucha,Water 200mL,Maple Syrup,Diet,122mL,269mL,117,1,26,2
1894,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cocoa Powder",Diet,132mL,369mL,66,13,11,3
1895,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Vanilla Extract,Bulking,159mL,352mL,260,4,31,2
1896,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,111mL,303mL,284,7,20,5
1897,Coconut Water,Water 200mL,Maple Syrup,Bulking,190mL,345mL,198,13,31,2
1898,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Protein Powder",Bulking,142mL,298mL,88,15,25,5
1899,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,115mL,270mL,255,7,30,9
1900,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Ginger",Bulking,179mL,219mL,50,2,8,8
1901,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,127mL,238mL,230,8,14,1
1902,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Honey",Bulking,110mL,276mL,143,14,6,5
1903,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,188mL,327mL,53,7,37,7
1904,Aloe Vera,Water 200mL,Maca Powder,Bulking,124mL,225mL,126,4,31,9
1905,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Ginger",Diet,140mL,282mL,130,11,27,1
1906,Turmeric,Water 200mL,"Lavender, Rose Petals",Bulking,100mL,271mL,145,16,7,3
1907,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,151mL,229mL,273,3,12,3
1908,Turmeric,Water 200mL,Rose Petals,Bulking,132mL,219mL,294,0,24,4
1909,Turmeric,Water 200mL,"Maple Syrup, Peppermint",Bulking,128mL,398mL,163,19,25,4
1910,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Chia Seeds",Bulking,189mL,330mL,286,15,19,0
1911,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Mint",Bulking,166mL,267mL,250,0,20,1
1912,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cinnamon, Mint",Diet,115mL,290mL,206,7,0,9
1913,Lemon Water,"Lemon Juice 20mL, Water 180mL","Ginger, Protein Powder",Diet,192mL,233mL,165,10,36,1
1914,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,119mL,241mL,57,13,39,0
1915,Aloe Vera,Water 200mL,Maple Syrup,Diet,159mL,389mL,172,4,1,9
1916,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,185mL,398mL,52,1,38,7
1917,Beetroot,Water 200mL,"Maca Powder, Peppermint",Bulking,149mL,309mL,106,7,27,9
1918,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,118mL,396mL,289,18,23,8
1919,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Cocoa Powder",Bulking,185mL,359mL,133,9,10,5
1920,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,142mL,361mL,50,4,17,0
1921,Turmeric,Water 200mL,"Lavender, Maca Powder",Bulking,120mL,200mL,166,4,0,7
1922,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,169mL,345mL,170,2,23,2
1923,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Protein Powder",Bulking,166mL,374mL,59,16,22,9
1924,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Protein Powder",Bulking,192mL,350mL,273,13,15,2
1925,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,108mL,279mL,146,0,31,7
1926,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Protein Powder",Bulking,147mL,369mL,140,6,26,9
1927,Turmeric,Water 200mL,"Basil, Maca Powder",Diet,123mL,216mL,193,9,0,1
1928,Protein Shake,"Whey Protein 30g, Milk 200mL",Protein Powder,Bulking,139mL,210mL,282,2,2,2
1929,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,120mL,298mL,111,15,9,0
1930,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,160mL,346mL,167,0,35,8
1931,Coconut Water,Water 200mL,"Sea Salt, Maple Syrup",Bulking,199mL,337mL,79,5,28,2
1932,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Mint",Diet,161mL,279mL,162,14,30,9
1933,Coconut Water,Water 200mL,Rose Petals,Diet,130mL,382mL,180,16,37,6
1934,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,153mL,241mL,189,15,36,4
1935,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Ginger",Bulking,154mL,208mL,167,3,8,2
1936,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,102mL,205mL,148,6,3,0
1937,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Honey",Diet,138mL,330mL,156,5,11,1
1938,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Honey",Bulking,146mL,218mL,62,3,7,3
1939,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Cocoa Powder",Diet,140mL,288mL,163,3,1,2
1940,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Honey",Bulking,109mL,387mL,247,9,12,0
1941,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,195mL,394mL,268,11,5,0
1942,Matcha,Water 200mL,"Peppermint, Maple Syrup",Diet,168mL,322mL,57,10,2,1
1943,Kombucha,Water 200mL,Maca Powder,Bulking,102mL,319mL,150,5,27,3
1944,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Cinnamon",Diet,105mL,255mL,132,10,36,1
1945,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,191mL,296mL,188,6,34,7
1946,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,171mL,264mL,200,7,13,2
1947,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,156mL,394mL,173,12,34,3
1948,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,164mL,351mL,85,18,6,1
1949,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,177mL,334mL,246,19,4,5
1950,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Cocoa Powder",Diet,122mL,307mL,221,7,27,6
1951,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Protein Powder",Bulking,170mL,265mL,207,17,30,0
1952,Turmeric,Water 200mL,Lemon Zest,Bulking,146mL,366mL,97,16,11,8
1953,Kombucha,Water 200mL,Maca Powder,Diet,164mL,311mL,100,14,18,3
1954,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Mint",Bulking,168mL,200mL,53,3,22,2
1955,Matcha,Water 200mL,"Sea Salt, Lemon Zest",Diet,122mL,361mL,70,1,36,2
1956,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Mint",Bulking,150mL,271mL,250,16,7,3
1957,Kombucha,Water 200mL,"Rose Petals, Sea Salt",Bulking,187mL,358mL,264,11,6,8
1958,Black Coffee,"Coffee Beans 10g, Water 200mL",Cinnamon,Diet,195mL,270mL,119,12,29,2
1959,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Mint",Diet,134mL,225mL,241,18,33,0
1960,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Ginger",Bulking,183mL,323mL,87,19,16,1
1961,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,109mL,276mL,126,1,14,0
1962,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Ginger, Chia Seeds",Bulking,118mL,247mL,107,4,8,7
1963,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Ginger, Cinnamon",Bulking,168mL,361mL,114,12,1,6
1964,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Ginger",Diet,146mL,225mL,156,13,25,8
1965,Beetroot,Water 200mL,Basil,Bulking,117mL,220mL,198,11,13,4
1966,Coconut Water,Water 200mL,Rose Petals,Diet,140mL,320mL,110,5,15,9
1967,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Chia Seeds",Bulking,159mL,345mL,292,2,13,0
1968,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,165mL,286mL,275,1,7,0
1969,Elderberry,Water 200mL,Peppermint,Bulking,133mL,204mL,291,5,17,8
1970,Kombucha,Water 200mL,"Lavender, Basil",Bulking,108mL,326mL,137,5,7,8
1971,Pomegranate Juice,Water 200mL,"Lavender, Rose Petals",Bulking,132mL,268mL,137,18,1,6
1972,Protein Shake,"Whey Protein 30g, Milk 200mL",Mint,Bulking,101mL,226mL,164,12,38,5
1973,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Honey",Diet,174mL,360mL,295,17,25,5
1974,Black Coffee,"Coffee Beans 10g, Water 200mL",Cinnamon,Diet,184mL,296mL,277,1,23,5
1975,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Chia Seeds",Bulking,117mL,326mL,169,9,3,0
1976,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cinnamon,Bulking,135mL,200mL,133,3,33,9
1977,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Cinnamon",Diet,176mL,302mL,200,2,9,3
1978,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Honey",Diet,158mL,243mL,207,15,19,3
1979,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Cocoa Powder",Bulking,189mL,326mL,146,0,35,7
1980,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Cocoa Powder",Diet,129mL,299mL,57,16,27,2
1981,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,197mL,385mL,230,14,2,8
1982,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Protein Powder",Diet,117mL,259mL,266,16,9,0
1983,Pomegranate Juice,Water 200mL,Basil,Bulking,155mL,204mL,281,4,27,2
1984,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,179mL,375mL,123,12,35,1
1985,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Cocoa Powder",Bulking,175mL,267mL,50,7,8,8
1986,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Mint,Diet,139mL,387mL,262,18,37,9
1987,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,162mL,339mL,213,9,31,0
1988,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,143mL,239mL,193,5,14,2
1989,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,105mL,397mL,224,14,23,6
1990,Beetroot,Water 200mL,Maple Syrup,Bulking,194mL,334mL,108,11,4,4
1991,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,153mL,243mL,126,0,15,8
1992,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Ginger, Cinnamon",Bulking,180mL,233mL,101,1,25,5
1993,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,155mL,292mL,141,12,29,3
1994,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Protein Powder",Diet,147mL,218mL,112,14,24,4
1995,Coconut Water,Water 200mL,Maca Powder,Bulking,133mL,314mL,243,10,2,2
1996,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Honey",Diet,154mL,224mL,116,1,36,5
1997,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,133mL,312mL,136,17,2,8
1998,Kombucha,Water 200mL,"Lavender, Lemon Zest",Diet,111mL,338mL,70,19,17,9
1999,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,119mL,319mL,191,2,19,0
2000,Elderberry,Water 200mL,Lemon Zest,Diet,121mL,384mL,201,12,13,8
2001,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,101mL,374mL,260,1,19,2
2002,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Vanilla Extract",Diet,190mL,378mL,209,14,0,9
2003,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Cinnamon",Diet,107mL,249mL,148,17,13,8
2004,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Ginger",Bulking,162mL,210mL,138,14,22,5
2005,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,169mL,256mL,118,6,17,7
2006,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,129mL,213mL,132,11,5,8
2007,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,162mL,251mL,245,4,17,5
2008,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,122mL,361mL,126,16,39,7
2009,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,135mL,365mL,135,12,16,9
2010,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,140mL,259mL,175,7,39,6
2011,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Honey",Diet,144mL,295mL,254,10,1,6
2012,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,166mL,262mL,228,1,2,7
2013,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,141mL,351mL,161,19,21,7
2014,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,192mL,256mL,249,3,23,4
2015,Aloe Vera,Water 200mL,"Rose Petals, Maple Syrup",Bulking,108mL,267mL,205,2,13,9
2016,Aloe Vera,Water 200mL,"Lemon Zest, Peppermint",Diet,150mL,334mL,234,18,10,4
2017,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Protein Powder",Diet,118mL,357mL,231,18,32,0
2018,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,104mL,359mL,132,5,17,8
2019,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,195mL,225mL,207,2,15,5
2020,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,105mL,355mL,286,9,19,5
2021,Coconut Water,Water 200mL,Rose Petals,Bulking,128mL,242mL,98,12,39,1
2022,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Mint",Diet,131mL,201mL,274,0,6,1
2023,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Protein Powder",Bulking,187mL,221mL,126,19,1,5
2024,Beetroot,Water 200mL,Rose Petals,Bulking,189mL,307mL,159,4,9,4
2025,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,166mL,341mL,60,13,11,8
2026,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Cinnamon",Diet,179mL,312mL,299,8,19,9
2027,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,185mL,381mL,244,7,11,1
2028,Pomegranate Juice,Water 200mL,"Maca Powder, Lemon Zest",Diet,154mL,398mL,169,3,13,1
2029,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Protein Powder",Bulking,118mL,286mL,297,10,0,5
2030,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,179mL,211mL,284,0,38,9
2031,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,156mL,305mL,177,11,29,7
2032,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Cocoa Powder",Diet,196mL,293mL,151,0,25,0
2033,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cocoa Powder,Diet,157mL,277mL,149,12,36,5
2034,Elderberry,Water 200mL,"Basil, Lavender",Bulking,141mL,201mL,152,18,3,8
2035,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,149mL,356mL,291,4,31,7
2036,Pomegranate Juice,Water 200mL,"Sea Salt, Rose Petals",Bulking,199mL,373mL,93,18,17,6
2037,Coconut Water,Water 200mL,"Basil, Rose Petals",Bulking,158mL,223mL,213,0,15,8
2038,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,126mL,230mL,289,11,8,0
2039,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Cinnamon",Diet,133mL,221mL,147,3,2,2
2040,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,163mL,395mL,102,18,11,4
2041,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Protein Powder",Diet,164mL,392mL,170,10,29,2
2042,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,198mL,207mL,241,12,28,5
2043,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,147mL,229mL,93,19,2,2
2044,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Ginger, Mint",Bulking,156mL,246mL,225,15,23,7
2045,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cinnamon, Vanilla Extract",Bulking,152mL,332mL,177,6,29,8
2046,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,198mL,350mL,103,4,7,9
2047,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,166mL,388mL,231,3,7,4
2048,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Honey,Diet,130mL,214mL,115,11,3,4
2049,Beetroot,Water 200mL,Peppermint,Diet,102mL,261mL,113,10,12,7
2050,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Chia Seeds",Bulking,129mL,292mL,196,1,28,8
2051,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Vanilla Extract",Diet,165mL,307mL,157,5,27,6
2052,Pomegranate Juice,Water 200mL,"Lavender, Rose Petals",Bulking,125mL,258mL,85,7,17,5
2053,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Cocoa Powder",Bulking,171mL,324mL,255,16,17,1
2054,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,127mL,289mL,184,1,35,7
2055,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,171mL,287mL,108,5,33,9
2056,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,171mL,260mL,206,15,14,9
2057,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Cinnamon",Diet,141mL,399mL,175,14,4,0
2058,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Vanilla Extract,Bulking,101mL,370mL,184,11,3,2
2059,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Ginger",Bulking,127mL,210mL,175,16,8,6
2060,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Chia Seeds",Diet,145mL,358mL,274,11,27,3
2061,Kombucha,Water 200mL,Lavender,Bulking,180mL,201mL,275,2,11,5
2062,Kombucha,Water 200mL,"Basil, Lemon Zest",Diet,174mL,328mL,250,4,24,0
2063,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Ginger",Bulking,189mL,276mL,234,14,37,0
2064,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Vanilla Extract",Diet,144mL,309mL,104,9,12,1
2065,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cinnamon, Cocoa Powder",Bulking,116mL,240mL,241,6,17,1
2066,Aloe Vera,Water 200mL,"Sea Salt, Maple Syrup",Diet,103mL,253mL,120,7,17,2
2067,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,159mL,217mL,256,19,22,5
2068,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cocoa Powder,Diet,145mL,358mL,114,0,25,1
2069,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Vanilla Extract",Bulking,195mL,353mL,266,8,2,6
2070,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,196mL,289mL,64,4,2,6
2071,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,145mL,242mL,193,8,18,9
2072,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,106mL,317mL,280,3,14,1
2073,Aloe Vera,Water 200mL,Lavender,Bulking,106mL,385mL,260,11,15,4
2074,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Cocoa Powder",Bulking,108mL,246mL,64,7,6,8
2075,Turmeric,Water 200mL,Lemon Zest,Diet,149mL,237mL,175,9,6,8
2076,Kombucha,Water 200mL,"Peppermint, Maple Syrup",Diet,163mL,370mL,204,10,19,8
2077,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,181mL,373mL,156,4,2,2
2078,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,160mL,214mL,111,8,22,7
2079,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Chia Seeds",Bulking,110mL,357mL,284,5,31,7
2080,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Honey, Protein Powder",Bulking,187mL,368mL,126,6,30,2
2081,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Protein Powder",Bulking,194mL,357mL,253,8,35,1
2082,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,132mL,347mL,231,4,22,7
2083,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,164mL,280mL,206,15,37,1
2084,Matcha,Water 200mL,"Sea Salt, Lemon Zest",Bulking,133mL,211mL,257,1,1,2
2085,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,154mL,235mL,81,12,22,3
2086,Pomegranate Juice,Water 200mL,"Peppermint, Sea Salt",Diet,101mL,317mL,119,9,31,8
2087,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,198mL,310mL,84,2,1,9
2088,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,187mL,217mL,165,5,28,1
2089,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cocoa Powder, Chia Seeds",Bulking,106mL,381mL,221,8,8,1
2090,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Cocoa Powder",Bulking,191mL,202mL,293,10,32,0
2091,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Protein Powder",Diet,110mL,342mL,267,17,0,6
2092,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,170mL,334mL,264,8,3,3
2093,Lemon Water,"Lemon Juice 20mL, Water 180mL",Honey,Diet,123mL,294mL,172,0,2,0
2094,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Protein Powder",Diet,131mL,267mL,259,19,13,7
2095,Aloe Vera,Water 200mL,"Basil, Lemon Zest",Diet,109mL,324mL,51,15,37,2
2096,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Protein Powder",Diet,164mL,358mL,171,18,14,9
2097,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Chia Seeds",Diet,100mL,339mL,281,4,10,6
