Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
4443,Chicken Soup,"Almond 53g, Spices Hot Sauce, Garlic Powder, Cayenne Pepper","Chili Powder, Hot Sauce, Paprika",Savory,Bulking,73g/147mL,148g/251mL,445,46,87,7
4444,Roasted Carrots,"Banana 51g, Spices Cayenne Pepper","Chili Powder, Black Mustard Seed",Vegetable,Bulking,73g/139mL,187g/209mL,618,39,98,11
4445,Stir Fried Greens,"Banana 79g, Spices Cayenne Pepper, Garlic Powder","Paprika, Cayenne Pepper, Rosemary, Garlic Powder",Vegetable,Bulking,76g/115mL,164g/207mL,579,39,35,22
4446,Fruit Salad,"Tuna 149g, Spices Ginger, Chili Powder, Rosemary","Hot Sauce, Oregano, Cinnamon, Garlic Powder",Fruit,Bulking,94g/134mL,127g/204mL,712,17,31,26
4447,Chili Con Carne,"Salmon 54g, Spices Paprika","Cumin, Chili Powder",Spicy,Bulking,91g/105mL,148g/234mL,383,48,29,29
4448,Stir Fried Greens,"Honey 148g, Spices Hot Sauce","Hot Sauce, Rosemary, Garlic Powder",Vegetable,Bulking,88g/134mL,134g/262mL,364,40,42,6
4449,Blueberry Muffin,"Beef Steak 141g, Spices Hot Sauce, Oregano","Hot Sauce, Garlic Powder, Rosemary, Black Pepper",Sweet,Bulking,86g/133mL,175g/232mL,314,20,75,11
4450,Garlic Bread,"Beef Steak 59g, Spices Black Mustard Seed, Black Mustard Seed, Black Pepper",Thyme,Savory,Bulking,82g/148mL,142g/296mL,457,41,49,11
4451,Vegetable Curry,"Kale 145g, Spices Thyme",Ginger,Vegetable,Bulking,75g/139mL,112g/243mL,233,16,91,8
4452,Vegetable Curry,"Turkey Slices 52g, Spices Rosemary, Oregano","Oregano, Paprika, Black Mustard Seed, Black Pepper",Vegetable,Bulking,83g/115mL,185g/282mL,446,36,58,27
4453,Stir Fried Greens,"Almond 147g, Spices Black Mustard Seed, Thyme","Black Pepper, Cumin, Turmeric, Cayenne Pepper",Vegetable,Bulking,76g/110mL,126g/215mL,431,45,98,11
4454,Maple Pecan Pie,"Milk 115g, Spices Black Pepper, Black Pepper","Turmeric, Rosemary, Black Pepper",Sweet,Bulking,50g/100mL,167g/262mL,387,47,55,22
4455,Fried Rice,"Egg 67g, Spices Paprika, Oregano","Cumin, Chili Powder, Black Pepper, Thyme",Savory,Bulking,51g/108mL,150g/284mL,423,8,26,21
4456,Vegetable Curry,"Banana 103g, Spices Thyme","Black Pepper, Cardamom",Vegetable,Bulking,85g/105mL,118g/215mL,215,38,66,9
4457,Mango Sorbet,"Garlic 78g, Spices Hot Sauce, Cumin, Cardamom","Black Pepper, Hot Sauce, Cardamom, Turmeric",Fruit,Bulking,94g/125mL,174g/271mL,328,11,75,11
4458,Pumpkin Spice Latte,"Kale 61g, Spices Hot Sauce, Turmeric, Chili Powder","Cumin, Ginger",Sweet,Bulking,88g/147mL,179g/269mL,240,32,88,23
4459,Grilled Vegetables,"Honey 115g, Spices Hot Sauce, Oregano, Cumin","Cumin, Black Pepper, Cardamom, Thyme",Vegetable,Bulking,97g/141mL,155g/252mL,743,25,79,16
4460,Berry Smoothie,"Oat 134g, Spices Oregano, Cinnamon, Black Mustard Seed","Cinnamon, Cumin, Paprika, Rosemary",Fruit,Bulking,52g/148mL,122g/285mL,244,48,54,10
4461,Grilled Vegetables,"Turkey Slices 107g, Spices Black Pepper","Cinnamon, Ginger, Cumin",Vegetable,Bulking,86g/107mL,138g/279mL,389,45,77,11
4462,Vanilla Custard,"Honey 102g, Spices Garlic Powder",Rosemary,Sweet,Bulking,97g/144mL,130g/203mL,340,34,53,6
4463,Roast Chicken,"Tuna 120g, Spices Black Mustard Seed, Cinnamon","Chili Powder, Thyme, Cinnamon",Meat,Bulking,98g/134mL,181g/248mL,384,30,35,19
4464,Blueberry Muffin,"Egg 83g, Spices Oregano, Oregano, Cayenne Pepper","Paprika, Thyme",Sweet,Bulking,81g/137mL,113g/255mL,773,12,69,10
4465,Jalapeno Poppers,"Milk 114g, Spices Cardamom, Garlic Powder","Ginger, Rosemary, Cayenne Pepper",Spicy,Bulking,62g/107mL,108g/241mL,486,48,20,5
4466,Garlic Bread,"Butter 140g, Spices Rosemary",Ginger,Savory,Bulking,88g/145mL,184g/228mL,702,29,39,23
4467,Garlic Bread,"Yogurt 120g, Spices Black Mustard Seed, Oregano","Ginger, Rosemary",Savory,Bulking,89g/130mL,160g/257mL,611,40,37,6
4468,Mushroom Risotto,"Yogurt 113g, Spices Garlic Powder","Oregano, Thyme, Paprika, Cardamom",Savory,Bulking,61g/130mL,106g/232mL,577,38,65,25
4469,Szechuan Noodles,"Carrot 148g, Spices Thyme, Ginger","Rosemary, Garlic Powder, Cayenne Pepper",Spicy,Bulking,80g/142mL,152g/295mL,354,9,56,15
4470,Fruit Kebabs,"Cheese 101g, Spices Black Mustard Seed","Rosemary, Cayenne Pepper, Thyme",Fruit,Bulking,78g/142mL,140g/216mL,469,8,98,19
4471,Chili Con Carne,"Egg 67g, Spices Rosemary","Garlic Powder, Cardamom, Cumin",Spicy,Bulking,67g/102mL,151g/260mL,676,15,75,11
4472,Stir Fried Greens,"Carrot 51g, Spices Chili Powder, Cinnamon, Paprika",Chili Powder,Vegetable,Bulking,69g/103mL,104g/280mL,474,34,87,10
4473,Mushroom Risotto,"Broccoli 149g, Spices Hot Sauce, Hot Sauce",Thyme,Savory,Bulking,72g/140mL,175g/270mL,261,41,57,15
4474,Garlic Bread,"Soy 137g, Spices Cinnamon","Chili Powder, Black Mustard Seed, Ginger",Savory,Bulking,83g/134mL,175g/237mL,484,33,39,18
4475,Jalapeno Poppers,"Carrot 100g, Spices Cinnamon, Black Pepper, Thyme",Rosemary,Spicy,Bulking,95g/118mL,170g/226mL,467,29,30,17
4476,Fruit Salad,"Soy 60g, Spices Cinnamon, Ginger, Oregano","Cayenne Pepper, Thyme",Fruit,Bulking,51g/118mL,170g/258mL,674,29,80,8
4477,Apple Pie,"Soy 79g, Spices Black Mustard Seed",Ginger,Fruit,Bulking,73g/113mL,165g/258mL,796,9,74,5
4478,Pumpkin Spice Latte,"Garlic 136g, Spices Cayenne Pepper, Black Mustard Seed, Cumin","Chili Powder, Cayenne Pepper, Hot Sauce, Thyme",Sweet,Bulking,60g/124mL,191g/282mL,775,16,29,27
4479,Grilled Salmon,"Garlic 88g, Spices Oregano","Ginger, Turmeric, Garlic Powder, Oregano",Meat,Bulking,76g/138mL,156g/285mL,354,29,59,20
4480,Salad Bowl,"Tuna 62g, Spices Paprika, Cinnamon, Cardamom","Hot Sauce, Black Pepper, Rosemary, Paprika",Vegetable,Bulking,82g/145mL,149g/221mL,724,31,80,23
4481,Chicken Soup,"Oat 80g, Spices Cinnamon, Thyme","Chili Powder, Cumin",Savory,Bulking,76g/137mL,103g/223mL,244,16,57,26
4482,Grilled Vegetables,"Wheat Flour 102g, Spices Oregano, Black Pepper","Garlic Powder, Cardamom, Chili Powder, Black Mustard Seed",Vegetable,Bulking,99g/118mL,108g/244mL,651,21,89,5
4483,Grilled Vegetables,"Onion 58g, Spices Garlic Powder, Oregano, Paprika","Turmeric, Ginger",Vegetable,Bulking,80g/107mL,143g/253mL,599,33,69,12
4484,Jalapeno Poppers,"Cheese 112g, Spices Thyme","Black Mustard Seed, Thyme",Spicy,Bulking,71g/121mL,132g/283mL,740,45,92,29
4485,Maple Pecan Pie,"Milk 104g, Spices Rosemary, Chili Powder, Thyme",Black Mustard Seed,Sweet,Bulking,75g/139mL,149g/294mL,779,16,48,23
4486,Garlic Bread,"Milk 128g, Spices Cumin, Hot Sauce, Cumin","Garlic Powder, Cayenne Pepper",Savory,Bulking,62g/115mL,137g/211mL,291,7,85,23
4487,Fruit Salad,"Egg 126g, Spices Cayenne Pepper, Thyme",Thyme,Fruit,Bulking,84g/113mL,185g/212mL,754,43,31,10
4488,Grilled Vegetables,"Orange 106g, Spices Cayenne Pepper, Rosemary","Cinnamon, Rosemary, Black Mustard Seed, Paprika",Vegetable,Bulking,64g/127mL,165g/238mL,495,7,63,11
4489,Vegetable Curry,"Onion 141g, Spices Cayenne Pepper, Cayenne Pepper","Cinnamon, Black Mustard Seed, Chili Powder",Vegetable,Bulking,56g/102mL,131g/218mL,792,42,49,22
4490,Chili Con Carne,"Beef Steak 76g, Spices Chili Powder","Ginger, Turmeric",Spicy,Bulking,78g/104mL,188g/245mL,600,8,76,14
4491,Grilled Vegetables,"Orange 106g, Spices Cumin, Oregano, Cinnamon",Black Mustard Seed,Vegetable,Bulking,72g/147mL,149g/200mL,205,36,61,28
4492,Salad Bowl,"Soy 83g, Spices Turmeric, Turmeric, Turmeric","Oregano, Rosemary",Vegetable,Bulking,92g/111mL,105g/230mL,524,10,63,28
4493,Jalapeno Poppers,"Honey 109g, Spices Oregano, Black Pepper, Thyme","Paprika, Black Pepper, Turmeric",Spicy,Bulking,59g/104mL,162g/252mL,461,31,86,16
4494,Vegetable Curry,"Apple 55g, Spices Garlic Powder","Cardamom, Cumin",Vegetable,Bulking,82g/149mL,169g/205mL,223,47,29,5
4495,Chili Con Carne,"Cheese 70g, Spices Rosemary",Black Mustard Seed,Spicy,Bulking,56g/140mL,119g/283mL,645,12,34,7
4496,Salad Bowl,"Wheat Flour 147g, Spices Chili Powder, Oregano","Black Mustard Seed, Cayenne Pepper",Vegetable,Bulking,76g/130mL,105g/256mL,227,20,80,10
4497,Apple Pie,"Honey 65g, Spices Cayenne Pepper, Chili Powder","Rosemary, Ginger",Fruit,Bulking,68g/149mL,158g/251mL,727,29,56,19
4498,Chili Con Carne,"Banana 72g, Spices Cumin","Cayenne Pepper, Chili Powder, Thyme",Spicy,Bulking,54g/114mL,186g/235mL,583,16,73,28
4499,Chili Con Carne,"Almond 104g, Spices Black Mustard Seed, Cumin","Cayenne Pepper, Ginger",Spicy,Bulking,55g/104mL,151g/212mL,663,39,83,13
4500,Vegetable Curry,"Turkey Slices 136g, Spices Paprika, Turmeric, Black Mustard Seed",Oregano,Vegetable,Bulking,51g/149mL,182g/277mL,284,24,75,28
4501,Spicy Tacos,"Salmon 60g, Spices Rosemary, Hot Sauce",Cardamom,Spicy,Bulking,90g/117mL,167g/232mL,679,49,21,18
4502,Hot Chicken Wings,"Almond 135g, Spices Paprika","Black Mustard Seed, Paprika, Cinnamon, Black Pepper",Spicy,Bulking,78g/111mL,135g/292mL,798,20,74,9
4503,Maple Pecan Pie,"Apple 72g, Spices Oregano","Oregano, Black Pepper, Black Mustard Seed, Thyme",Sweet,Bulking,85g/123mL,195g/251mL,408,8,90,16
4504,Chili Con Carne,"Soy 111g, Spices Hot Sauce","Cinnamon, Rosemary, Hot Sauce",Spicy,Bulking,78g/143mL,153g/254mL,505,43,43,15
4505,Roasted Carrots,"Oat 127g, Spices Ginger, Rosemary, Paprika",Cumin,Vegetable,Bulking,67g/130mL,101g/206mL,328,16,70,11
4506,Chocolate Cake,"Wheat Flour 117g, Spices Garlic Powder, Cayenne Pepper","Thyme, Oregano, Black Mustard Seed",Sweet,Bulking,67g/127mL,162g/290mL,477,32,69,22
4507,Beef Stew,"Cheese 71g, Spices Cardamom, Black Pepper, Cayenne Pepper","Cinnamon, Chili Powder, Garlic Powder, Thyme",Savory,Bulking,86g/127mL,135g/262mL,313,47,44,27
4508,Spicy Tacos,"Banana 102g, Spices Hot Sauce",Garlic Powder,Spicy,Bulking,97g/149mL,131g/274mL,352,14,34,28
4509,Vegetable Curry,"Tuna 52g, Spices Black Pepper, Ginger","Ginger, Hot Sauce",Vegetable,Bulking,53g/105mL,191g/233mL,595,17,40,25
4510,Fruit Kebabs,"Beef Steak 138g, Spices Hot Sauce, Ginger, Cinnamon","Rosemary, Turmeric",Fruit,Bulking,88g/135mL,130g/232mL,762,26,50,11
4511,Szechuan Noodles,"Butter 142g, Spices Thyme",Ginger,Spicy,Bulking,70g/139mL,137g/293mL,745,17,55,18
4512,Berry Smoothie,"Garlic 138g, Spices Thyme, Paprika","Cinnamon, Cayenne Pepper",Fruit,Bulking,79g/109mL,141g/233mL,497,44,39,27
4513,Chocolate Cake,"Onion 62g, Spices Garlic Powder, Paprika",Oregano,Sweet,Bulking,95g/147mL,134g/288mL,220,40,48,18
4514,Fried Rice,"Soy 147g, Spices Cayenne Pepper, Cayenne Pepper","Paprika, Cardamom, Garlic Powder, Black Mustard Seed",Savory,Bulking,90g/113mL,120g/228mL,733,5,67,8
4515,Roast Chicken,"Tomato 89g, Spices Black Mustard Seed, Cumin, Paprika","Cumin, Garlic Powder, Black Pepper",Meat,Bulking,63g/121mL,152g/204mL,265,26,69,8
4516,Garlic Bread,"Almond 78g, Spices Rosemary, Cinnamon","Cumin, Ginger",Savory,Bulking,61g/100mL,108g/264mL,225,19,65,16
4517,Roast Chicken,"Banana 137g, Spices Turmeric, Thyme",Ginger,Meat,Bulking,61g/101mL,166g/254mL,384,19,54,19
4518,Grilled Salmon,"Milk 71g, Spices Oregano","Thyme, Black Pepper, Paprika, Rosemary",Meat,Bulking,72g/126mL,145g/235mL,317,20,46,11
4519,Duck Confit,"Tuna 79g, Spices Hot Sauce, Ginger, Black Mustard Seed","Chili Powder, Hot Sauce",Meat,Bulking,64g/106mL,135g/256mL,729,18,38,16
4520,Mushroom Risotto,"Honey 145g, Spices Garlic Powder, Thyme, Rosemary",Rosemary,Savory,Bulking,63g/127mL,127g/251mL,762,38,60,16
4521,Chili Con Carne,"Onion 74g, Spices Oregano","Paprika, Black Mustard Seed, Garlic Powder",Spicy,Bulking,69g/113mL,159g/248mL,580,48,60,18
4522,Jalapeno Poppers,"Tomato 108g, Spices Cardamom","Cinnamon, Cumin, Rosemary",Spicy,Bulking,98g/144mL,160g/287mL,713,25,96,14
4523,Chicken Soup,"Garlic 95g, Spices Chili Powder","Black Mustard Seed, Hot Sauce, Turmeric, Paprika",Savory,Bulking,66g/140mL,100g/217mL,436,48,76,21
4524,Blueberry Muffin,"Wheat Flour 66g, Spices Rosemary, Cinnamon, Cinnamon","Garlic Powder, Cayenne Pepper, Turmeric, Paprika",Sweet,Bulking,70g/132mL,103g/259mL,325,34,80,20
4525,Vegetable Curry,"Cheese 138g, Spices Turmeric","Black Mustard Seed, Cayenne Pepper",Vegetable,Bulking,78g/143mL,146g/225mL,671,13,26,27
4526,Roast Chicken,"Broccoli 97g, Spices Cumin, Black Mustard Seed","Chili Powder, Oregano",Meat,Bulking,79g/111mL,179g/253mL,638,14,47,27
4527,Garlic Bread,"Tuna 72g, Spices Cardamom, Paprika","Hot Sauce, Black Mustard Seed",Savory,Bulking,85g/106mL,147g/252mL,401,20,35,10
4528,Chicken Soup,"Almond 77g, Spices Thyme","Paprika, Cumin, Garlic Powder",Savory,Bulking,84g/135mL,153g/262mL,580,44,51,26
4529,Blueberry Muffin,"Cheese 58g, Spices Black Pepper, Rosemary, Ginger","Cardamom, Black Pepper, Black Mustard Seed",Sweet,Bulking,85g/111mL,131g/254mL,728,20,65,11
4530,Garlic Bread,"Oat 101g, Spices Cayenne Pepper","Black Mustard Seed, Black Pepper",Savory,Bulking,53g/123mL,150g/244mL,346,17,67,19
4531,Lamb Chops,"Cheese 131g, Spices Chili Powder, Rosemary","Cumin, Ginger, Cardamom",Meat,Bulking,85g/115mL,189g/213mL,535,18,40,8
4532,Berry Smoothie,"Butter 50g, Spices Cayenne Pepper, Ginger",Turmeric,Fruit,Bulking,57g/113mL,143g/209mL,762,32,74,25
4533,Berry Smoothie,"Almond 146g, Spices Chili Powder","Cumin, Chili Powder, Thyme",Fruit,Bulking,74g/133mL,196g/276mL,788,44,32,13
4534,Vegetable Curry,"Banana 129g, Spices Cayenne Pepper, Paprika, Black Pepper",Oregano,Vegetable,Bulking,82g/105mL,169g/235mL,282,16,42,11
4535,Maple Pecan Pie,"Tuna 147g, Spices Oregano, Paprika, Ginger",Cumin,Sweet,Bulking,56g/109mL,141g/288mL,459,5,52,27
4536,Fried Rice,"Onion 121g, Spices Black Pepper","Cumin, Black Mustard Seed, Black Pepper",Savory,Bulking,91g/148mL,192g/246mL,729,32,70,15
4537,Grilled Vegetables,"Broccoli 90g, Spices Thyme, Hot Sauce, Ginger",Cumin,Vegetable,Bulking,50g/139mL,191g/280mL,299,42,54,11
4538,Chocolate Cake,"Beef Steak 65g, Spices Hot Sauce","Rosemary, Oregano",Sweet,Bulking,85g/121mL,180g/200mL,266,39,46,15
4539,Fruit Kebabs,"Chicken Breast 124g, Spices Turmeric","Cardamom, Garlic Powder, Cayenne Pepper",Fruit,Bulking,65g/133mL,112g/217mL,573,39,46,6
4540,Pork Ribs,"Orange 135g, Spices Cardamom, Ginger","Cinnamon, Hot Sauce, Ginger, Cayenne Pepper",Meat,Bulking,93g/148mL,122g/222mL,457,47,26,23
4541,Roast Chicken,"Beef Steak 85g, Spices Garlic Powder, Ginger","Ginger, Chili Powder, Black Pepper, Cardamom",Meat,Bulking,91g/136mL,195g/220mL,459,7,65,9
4542,Szechuan Noodles,"Honey 50g, Spices Turmeric","Cayenne Pepper, Cardamom",Spicy,Bulking,82g/144mL,158g/275mL,726,31,83,27
4543,Szechuan Noodles,"Turkey Slices 84g, Spices Cumin, Cumin, Cardamom","Thyme, Cardamom",Spicy,Bulking,84g/120mL,183g/201mL,614,32,27,24
4544,Chicken Soup,"Banana 66g, Spices Oregano","Rosemary, Chili Powder, Cumin, Ginger",Savory,Bulking,77g/112mL,146g/239mL,454,31,24,9
4545,Fried Rice,"Honey 58g, Spices Cayenne Pepper, Black Mustard Seed, Cayenne Pepper","Thyme, Paprika, Black Mustard Seed",Savory,Bulking,66g/100mL,181g/206mL,793,15,86,10
4546,Fruit Kebabs,"Onion 148g, Spices Black Pepper","Black Pepper, Hot Sauce, Cumin",Fruit,Bulking,50g/145mL,104g/223mL,214,48,55,11
4547,Garlic Bread,"Chicken Breast 80g, Spices Cumin",Thyme,Savory,Bulking,58g/101mL,155g/273mL,775,48,70,23
4548,Stir Fried Greens,"Egg 114g, Spices Cardamom","Oregano, Hot Sauce",Vegetable,Bulking,66g/137mL,135g/252mL,286,13,27,5
4549,Stir Fried Greens,"Yogurt 136g, Spices Garlic Powder, Cinnamon, Oregano","Hot Sauce, Cayenne Pepper, Ginger",Vegetable,Bulking,91g/133mL,177g/250mL,608,16,85,13
4550,Roast Chicken,"Almond 65g, Spices Ginger, Cinnamon, Hot Sauce",Hot Sauce,Meat,Bulking,76g/123mL,190g/229mL,244,47,21,6
4551,Chicken Soup,"Onion 144g, Spices Black Mustard Seed, Cayenne Pepper, Turmeric","Rosemary, Cardamom, Cayenne Pepper, Black Mustard Seed",Savory,Bulking,68g/143mL,164g/281mL,713,32,42,19
4552,Mushroom Risotto,"Cheese 58g, Spices Hot Sauce, Turmeric, Hot Sauce","Black Mustard Seed, Ginger, Cumin",Savory,Bulking,95g/139mL,168g/248mL,636,6,52,9
4553,Blueberry Muffin,"Orange 99g, Spices Rosemary, Oregano",Turmeric,Sweet,Bulking,97g/113mL,192g/292mL,228,31,81,8
4554,Chicken Soup,"Soy 58g, Spices Cardamom, Chili Powder, Oregano","Garlic Powder, Cayenne Pepper, Rosemary, Oregano",Savory,Bulking,79g/141mL,197g/251mL,460,27,79,19
4555,Grilled Vegetables,"Turkey Slices 96g, Spices Black Mustard Seed, Paprika",Cumin,Vegetable,Bulking,81g/116mL,163g/299mL,313,20,41,10
4556,Duck Confit,"Turkey Slices 113g, Spices Cumin, Rosemary, Cardamom","Oregano, Cayenne Pepper, Thyme",Meat,Bulking,50g/120mL,108g/242mL,398,44,89,22
4557,Garlic Bread,"Butter 92g, Spices Rosemary, Cumin, Ginger","Rosemary, Cardamom, Paprika",Savory,Bulking,69g/112mL,177g/237mL,458,39,25,9
4558,Duck Confit,"Onion 56g, Spices Cayenne Pepper",Rosemary,Meat,Bulking,72g/107mL,194g/242mL,280,42,45,10
4559,Fried Rice,"Apple 103g, Spices Cinnamon, Hot Sauce","Chili Powder, Oregano, Cinnamon, Cayenne Pepper",Savory,Bulking,83g/112mL,189g/230mL,327,8,51,16
4560,Chili Con Carne,"Honey 120g, Spices Thyme, Garlic Powder, Cinnamon","Chili Powder, Cayenne Pepper, Hot Sauce, Black Mustard Seed",Spicy,Bulking,82g/141mL,152g/226mL,553,44,73,25
4561,Chocolate Cake,"Butter 113g, Spices Thyme, Turmeric","Hot Sauce, Black Pepper, Paprika, Cumin",Sweet,Bulking,95g/148mL,102g/299mL,464,39,41,17
4562,Chocolate Cake,"Tuna 134g, Spices Turmeric, Ginger","Cayenne Pepper, Cinnamon",Sweet,Bulking,88g/115mL,167g/271mL,706,35,37,16
4563,Beef Stew,"Kale 74g, Spices Chili Powder, Black Pepper, Cardamom","Oregano, Black Pepper, Ginger",Savory,Bulking,59g/100mL,190g/221mL,238,38,23,18
4564,Grilled Vegetables,"Wheat Flour 59g, Spices Rosemary, Turmeric, Paprika","Cumin, Rosemary, Chili Powder",Vegetable,Bulking,81g/149mL,102g/267mL,354,18,86,24
4565,Spicy Tacos,"Onion 72g, Spices Cardamom","Cayenne Pepper, Paprika",Spicy,Bulking,53g/126mL,148g/202mL,469,13,26,28
4566,Roast Chicken,"Oat 130g, Spices Chili Powder, Cumin, Black Mustard Seed","Turmeric, Oregano",Meat,Bulking,83g/127mL,140g/231mL,647,17,37,16
4567,Blueberry Muffin,"Egg 60g, Spices Black Pepper, Black Pepper, Cayenne Pepper","Cardamom, Black Pepper, Turmeric",Sweet,Bulking,79g/129mL,192g/213mL,630,38,35,17
4568,Roasted Carrots,"Wheat Flour 68g, Spices Ginger","Oregano, Black Mustard Seed, Thyme",Vegetable,Bulking,58g/105mL,161g/222mL,533,24,21,16
4569,Apple Pie,"Turkey Slices 67g, Spices Black Mustard Seed, Black Mustard Seed","Garlic Powder, Cardamom, Oregano, Rosemary",Fruit,Bulking,67g/122mL,116g/238mL,226,19,53,11
4570,Fruit Kebabs,"Orange 143g, Spices Rosemary, Cardamom","Garlic Powder, Cayenne Pepper",Fruit,Bulking,77g/134mL,193g/266mL,474,18,53,20
4571,Roast Chicken,"Milk 137g, Spices Ginger",Ginger,Meat,Bulking,74g/103mL,131g/252mL,628,40,30,20
4572,Roasted Carrots,"Tomato 56g, Spices Black Mustard Seed, Black Pepper","Cumin, Ginger",Vegetable,Bulking,68g/127mL,127g/212mL,252,30,38,21
4573,Maple Pecan Pie,"Almond 144g, Spices Cumin, Black Mustard Seed, Turmeric",Hot Sauce,Sweet,Bulking,84g/135mL,142g/290mL,655,21,43,21
4574,Apple Pie,"Kale 95g, Spices Thyme",Black Mustard Seed,Fruit,Bulking,77g/113mL,105g/266mL,229,32,75,7
4575,Chili Con Carne,"Egg 123g, Spices Oregano","Cinnamon, Rosemary, Thyme",Spicy,Bulking,70g/129mL,136g/232mL,531,17,55,23
4576,Roasted Carrots,"Soy 56g, Spices Chili Powder","Cayenne Pepper, Cinnamon",Vegetable,Bulking,59g/132mL,190g/261mL,291,16,21,23
4577,Roasted Carrots,"Banana 76g, Spices Ginger, Chili Powder, Turmeric","Thyme, Oregano",Vegetable,Bulking,54g/134mL,153g/248mL,550,6,67,6
4578,Grilled Salmon,"Beef Steak 139g, Spices Cayenne Pepper, Hot Sauce, Ginger","Hot Sauce, Ginger, Cinnamon, Cayenne Pepper",Meat,Bulking,51g/139mL,164g/298mL,764,23,95,29
4579,Stir Fried Greens,"Garlic 116g, Spices Chili Powder, Chili Powder","Black Mustard Seed, Black Pepper",Vegetable,Bulking,95g/113mL,154g/218mL,352,46,78,29
4580,Chocolate Cake,"Butter 123g, Spices Cumin, Hot Sauce",Black Mustard Seed,Sweet,Bulking,54g/109mL,140g/249mL,545,22,52,25
4581,Roasted Carrots,"Turkey Slices 112g, Spices Cardamom","Cardamom, Black Mustard Seed, Turmeric",Vegetable,Bulking,71g/129mL,155g/204mL,538,42,60,14
4582,Fruit Kebabs,"Almond 120g, Spices Hot Sauce",Thyme,Fruit,Bulking,92g/143mL,163g/282mL,632,7,65,12
4583,Garlic Bread,"Wheat Flour 146g, Spices Ginger, Thyme",Turmeric,Savory,Bulking,95g/135mL,139g/276mL,616,7,28,18
4584,Apple Pie,"Almond 122g, Spices Cinnamon","Hot Sauce, Black Pepper, Rosemary, Paprika",Fruit,Bulking,91g/125mL,117g/270mL,473,37,49,14
4585,Mushroom Risotto,"Onion 62g, Spices Cumin, Garlic Powder, Cinnamon",Cardamom,Savory,Bulking,86g/132mL,178g/217mL,679,36,73,15
4586,Fried Rice,"Wheat Flour 81g, Spices Cardamom, Garlic Powder","Cinnamon, Black Mustard Seed, Cardamom, Cayenne Pepper",Savory,Bulking,89g/143mL,109g/263mL,774,7,34,26
4587,Pumpkin Spice Latte,"Turkey Slices 115g, Spices Ginger, Oregano, Black Mustard Seed","Cumin, Cinnamon, Chili Powder",Sweet,Bulking,81g/111mL,158g/282mL,273,12,42,15
4588,Chili Con Carne,"Egg 89g, Spices Cardamom, Paprika",Thyme,Spicy,Bulking,89g/103mL,137g/260mL,430,24,31,29
4589,Vanilla Custard,"Tomato 130g, Spices Ginger, Rosemary, Garlic Powder","Cumin, Garlic Powder, Rosemary, Black Mustard Seed",Sweet,Bulking,70g/128mL,199g/202mL,245,13,24,15
4590,Hot Chicken Wings,"Chicken Breast 53g, Spices Cayenne Pepper, Paprika, Ginger","Oregano, Garlic Powder, Ginger",Spicy,Bulking,65g/141mL,168g/290mL,244,37,71,19
4591,Fruit Kebabs,"Carrot 83g, Spices Cayenne Pepper","Garlic Powder, Cayenne Pepper, Black Mustard Seed, Cinnamon",Fruit,Bulking,73g/144mL,163g/261mL,583,44,82,20
4592,Jalapeno Poppers,"Turkey Slices 120g, Spices Hot Sauce, Hot Sauce, Ginger","Turmeric, Oregano, Cumin",Spicy,Bulking,84g/144mL,172g/208mL,597,7,29,28
4593,Mushroom Risotto,"Beef Steak 149g, Spices Black Pepper","Chili Powder, Rosemary, Cinnamon, Oregano",Savory,Bulking,68g/101mL,191g/237mL,310,17,68,13
4594,Roast Chicken,"Wheat Flour 108g, Spices Rosemary, Black Mustard Seed, Turmeric",Paprika,Meat,Bulking,87g/101mL,188g/270mL,642,43,37,18
4595,Fried Rice,"Egg 134g, Spices Paprika","Ginger, Rosemary, Turmeric, Thyme",Savory,Bulking,97g/112mL,195g/228mL,354,41,67,20
4596,Spicy Tacos,"Onion 55g, Spices Cumin, Paprika","Chili Powder, Ginger",Spicy,Bulking,78g/109mL,109g/286mL,701,39,81,29
4597,Salad Bowl,"Yogurt 146g, Spices Black Pepper, Black Mustard Seed, Cinnamon",Cumin,Vegetable,Bulking,93g/145mL,122g/208mL,219,42,88,25
4598,Grilled Vegetables,"Garlic 116g, Spices Hot Sauce, Oregano, Chili Powder",Garlic Powder,Vegetable,Bulking,61g/110mL,159g/259mL,733,19,32,9
4599,Duck Confit,"Salmon 148g, Spices Garlic Powder","Chili Powder, Cinnamon",Meat,Bulking,57g/103mL,144g/273mL,734,9,84,12
4600,Pumpkin Spice Latte,"Honey 84g, Spices Rosemary, Oregano, Rosemary","Thyme, Black Mustard Seed, Chili Powder, Paprika",Sweet,Bulking,79g/118mL,184g/295mL,405,18,61,28
4601,Szechuan Noodles,"Banana 103g, Spices Cumin","Turmeric, Paprika",Spicy,Bulking,89g/118mL,176g/220mL,796,12,47,25
4602,Garlic Bread,"Wheat Flour 109g, Spices Rosemary","Rosemary, Cayenne Pepper, Oregano, Thyme",Savory,Bulking,54g/130mL,143g/280mL,272,40,27,18
4603,Pork Ribs,"Wheat Flour 86g, Spices Cayenne Pepper, Turmeric, Cayenne Pepper","Rosemary, Turmeric",Meat,Bulking,97g/116mL,175g/252mL,604,33,60,20
